,pre-processado-sw-lemma,Toxic_predict,Toxic_predict_str
168,சம யல ல க ட ந ம க ய கற கள ம ற ற சம பத ல ல க ரணம ச வ ம ற வ ட ம என பதற க க ஆன ல ம ழ என ற வந த வ ட ட ல morning என ன ச ப ப ட ர ம ப bore அட க க த என க ற ம இன ற ய ச ற வர கள க க ந ற க ல ம ச ப ன றவ ஆங க லத த ல த ர ய ம தவ ர த ய ம ழ ய ன நம தம ழ ல அல ல அங க லத த ந ன எத ர க க வ ல ல என தம ழ ம ழ ய ந ன ந ச க ன ற ன ஒர ஆய வ ல இன ன ம 200 வர டங கள ல நம தம ழ ம ழ அழ ந த வ ட ம என க ற ர கள ப ர ள கள ன ம ல உள ள அக கற நம ம ழ ன ம ல இல ல என பத வர ந த வ க க றத மற ற ம ழ கள ல ப ச வத தவறல ல ந ம தம ழ ம ழ ய ப ச ங கள அங க லம கலக க மல தம ழ ல ப ச வ ம தம ழ ய ம ப ச வ ம அங க லம கலக க மல ந ம ந ம ம ழ க க க ல ல வ ப பத க ட ரம தம ழன என ற ச ல வ ம தல ந ம ர த த ந ற ப ம தம ழ ல ப ச வ ம தம ழ ய ம ப ச வ ம வ ழ க தம ழ வளர க தம ழ என ற ம அழ ய மல ந ட ட வ ழ க வளர க,0,Non-Toxic
169,dink little motherfucker parody notable enough included,1,Toxic
170,unblock lying bastard wiki nato bombing campaign ha already killed thousand innocent people,1,Toxic
171,pristerognathus please stop removing image im going tell admin block idiot,1,Toxic
172,fucking problem,1,Toxic
173,per warning blocked ip address editing wikipedia next 24 hour block expires please feel free contribute constructive manner,1,Toxic
174,jew responsible every thing happens one bad said lord,1,Toxic
175,player transfer rickie lambert still shown southampton player ha joined liverpool,0,Non-Toxic
176,humanitarian crisis appeal please unprotect soon possible otherwise 10 000 starving african die,1,Toxic
177,think antonio adam begay dead,1,Toxic
178,could please least restore statistic thank,0,Non-Toxic
179,advice regardless right donot call anyone troll word ha special meaning someone deliberately intending harm wp people exist ordinary dispute however bitter stupid rarely amount,1,Toxic
180,bastard rot hell,1,Toxic
181,quality improvement project going embark quality improvement project article current stage ongoing research next stage improvement referencing cited source suggestion secondary source post talk page would appreciated cheer,0,Non-Toxic
182,ah stupid didnot think messaged discreete future feel free censor anyway seems gone bed late europe,1,Toxic
183,mooch grassy,1,Toxic
184,ok called cunt show much better recent change patroller read thanks checking think good,0,Non-Toxic
185,pesky penyulap seems convinced incredibly smart smart enough edit wikipedia without getting trouble wall text spi culminated pointing newest sock wa presumably frustrated hadnot found yet large troublemaking sock stupid give away even donot specialise creating obscene version usernames similar large blocked banned editor sneak back different area edits without trouble community isnot mad keen flushing penyulap ha syndrome give effective memory area may bit better spotting sock often feel familiarity without able pin might value project valuable disruptive create sock,0,Non-Toxic
186,bro messin brav bang,1,Toxic
187,remove,1,Toxic
188,fucking israeal fuck uuuuuuu,1,Toxic
189,watched one hate filled speech kill baby kill homosexual wa profoundly disturbed human warped little possibility remotely sane bad chance poison people tirade hate filled speech couldnot care le green people people asshole exist every colour spectrum personally glad dead,1,Toxic
190,greeting hello gollak welcome wikipedia get started click link say welcome rest u hope like decide stay happy editing,0,Non-Toxic
191,hubidubby penis cock men lover weirdo piss fetish,1,Toxic
192,gd sit beat shit blood vice lord ltin king sow thier face gd area way rollin crips yall faggeds dont want six point star,1,Toxic
193,say ha ken beaten alleged record bedding 10 000 woman quite possible,0,Non-Toxic
194,case spoke continental celtic language mean could similar old irish insular celtic language therefore either wa continental celtic language insular celtic language similar old irish lack source within text former something unheard latter something feassible,0,Non-Toxic
195,wow awful awful awful initiative understand folk wikiproject river agreed upon although canot imagine making massive change without even asking terrible user ha full lack support,1,Toxic
196,name suck,1,Toxic
197,baby killer,1,Toxic
198,well imho method crap opinion live,1,Toxic
199,usfduoh yeah thisn si ossim shit fuck yeaer,1,Toxic
200,ebonics text read like ad stuff like way ha also prove lyrical lamborgini way responded twitter saying fucked im bout shitttt nigga lol wikipedia ghetto,1,Toxic
201,arden jones butt saved world fuck yeah butt butt butt butt sex sex sex sex,1,Toxic
202,fuck holaccordis,1,Toxic
203,dumb kid hey peep,1,Toxic
204,mother bitch never heard demo heard 2 though also doe anybody know tony wolf last name please edit,1,Toxic
205,disclose coi bit bitter general since stole two different model wa dating right nose little sh wait,0,Non-Toxic
206,customary air personal matter world chosen incident exception rule hope family would subjected rebecca brown strange influence,0,Non-Toxic
207,donot care school suck,1,Toxic
208,nice thx u awickert,0,Non-Toxic
209,car gay wont give ride mexican ggggggggggaaaaaaaayyyyyyy,1,Toxic
210,word george carlin earth isnot going anywhere,1,Toxic
211,fucking read dick fucking bingo eating mother fucker fuck,1,Toxic
212,fixed shut already,1,Toxic
213,anyone anyone tear unsubstantiable piece,1,Toxic
214,emma coolest girl ive ever met pretty fine ask bad part huge slutt suck toe,1,Toxic
215,penis,1,Toxic
216,dare add link website world devoted erich kuby way check server stats get almost referral wiki fuck,1,Toxic
217,ay yo admin queer u jus like curps u best unblock im jimbo wale im yo bos nigga u aint never gon stop talk page blocked nerd mode nasal ooh seeyour showed hiiam,1,Toxic
218,big four criticism depends manchester city club outside big four win league upcoming season yes probably could change need section right think section still since manchester united arsenal chelsea still posse threat,0,Non-Toxic
219,hola ur fat,1,Toxic
220,simple wikipedia article evolution,1,Toxic
221,cumbey quote email tomorrow sending jimbo certified letter return receipt requested printing hard copy demanding immediately retract libelous slanderous sock puppet allegation forthwith demanding written apology circulated far web circulated slander demand everything put back solana article external reference furthermore wikipedia policy attach external reference removed themi see glee others catching idiocy thing denying importance barcelona process javier solana wrote brand new article published today london financial time donot go hack well hand maybe exercise christian charity blame misdeed machete wielder received march 14th earlier day accused working javier solana resent volunteer hope solana paying well internet mayhem destruction may lord mercy poor miserable soul,0,Non-Toxic
222,seriously anger come acting like child pissed others temper tantrum isnot getting result want take deep breath leave attitude home discus adult manner right basically feel like ignoring everything say attitude start agf work way first statement clearly implies assumption good faith regarding anyone disagrees,1,Toxic
223,section heading first killing awkward doe anyone else find first section heading shooting first killing little awkward especially since next section heading classroom slaying shouldnot consistent use either shooting killing slaying three sure first sub section even need heading,0,Non-Toxic
224,still believe comment stupid hxl,1,Toxic
225,whats known stupidity overboard,1,Toxic
226,yeah see way rape white girl rape father cut mother throat black dada nihilismus choke friend roywilkins eternal faggot spirit faggot projection image say ever see roywilkins sidewalk imonna stick half sandal hate like acid vomit fire hell fit christmas card,1,Toxic
227,lyric song rape anyone find source add article,0,Non-Toxic
228,penis fever,1,Toxic
229,havenot seen tan kid love dumbest shit watched caillou look winner keeper quote day back talking kek iri girl light brown hair pretty face,1,Toxic
230,hello andrew welcome wikipedia gone edits account seems used adding link http www corsetique com corset related article idea affiliated website edits maybe good faith first impression got wa spamming may intention spamming anyway please go wp otherspam wp elno importantly wp promo,0,Non-Toxic
231,kom bitch nigga suck dick,1,Toxic
232,suck dont believe shit read wikipedia,1,Toxic
233,شنودة father wa asshole sayind ok gay asshole good mule iam donkey mule,1,Toxic
234,guy talking bullshit havenot done anything merely exercising human right freedom speech donot like talk un fascist scum,1,Toxic
235,change made filter enabled,0,Non-Toxic
236,wa bullshit meat bullfight sold consumed corrected,1,Toxic
237,already said homework felt already said wa sorry offense given getting sense short admitting stupid devious fool value whatever project taking pledge never edit sure could would satisfy donot think stupid devious fool think bring value project intend keep editing may agree self assessment ask raise new point remain new point raised civilly,1,Toxic
238,george w bush suck,1,Toxic
239,play wikipedia guantanamo warden alone stupid bespectacled nerd,1,Toxic
240,bunch crap,1,Toxic
241,hooray blond hate people think must stupid blond used cheerleader guess kind played stereotype little wa high school,1,Toxic
242,r n hello please give u point view jerash article drn discussion article talk page took long time action even though provided evidence wrong information thanks advance,0,Non-Toxic
243,hitler gay man year u like beating black people kiss black azz,1,Toxic
244,mom mom wa invented god lot year ago later wa adopted satan wa motivation invent clock mom considered tool sex toy usually slut case none bitch sure burn hell,1,Toxic
245,sex slave stupid,1,Toxic
246,dumb bot tagged image orphan error bot canot play nice keep leash,1,Toxic
247,acdc donot rock suck shit,1,Toxic
248,wow wikipedia really stupid ok shall information uploaded taio cruz official website link regard,1,Toxic
249,hi hi noseptember per comment rfa promise keep flexibility top priority future editing wikipedia hope see positive interaction future footer pretty sure way people popups lupin autoedit j automatically move footer bottom using regex might ask lupin syntax using syntax could make easy auto archive talkpage click button already parserfunctions set auto list archive exists donot know edit old fashion way good might get cold pleasssssseeeeeeeeee try non old fashion,0,Non-Toxic
250,didnt retarded freind,1,Toxic
251,fuck misread date umm sorry,1,Toxic
252,homophobia incident berman called someone aid infested faggot think warrant added article criticism show berman really bigot,0,Non-Toxic
253,talking trash riffa ballsey admin wannabe lesson 1 wait riffa say whatever hell want impunity looked picture hammond crazy cat ǀ,1,Toxic
254,many time going reply sockpuppet,1,Toxic
255,hardouin goal trolling want deny german person wa german,1,Toxic
256,witch would stop attacking blp tabloid trivia,0,Non-Toxic
257,donot problem checked edits properly updated article latest infobox yet sporkbot edit,0,Non-Toxic
258,katefan0 vfd concept stupid,1,Toxic
259,haha agree plus jew know silly kid typical jew,1,Toxic
260,bugger swearword like bastard dick,1,Toxic
261,sorry idiot canot make sense doucheblog canot help,1,Toxic
262,watch movie dumbass ton la dee da claim pulp fiction salute movie movie bottom line sea bass inspiration zed people need deal see shitforbrains zzupupzzuzuz ha protected pulp fiction page 2008 dipshit,1,Toxic
263,regardless merit material animal love match appeared engage edit warring editor although technically violating 1rr carried past day suggest reverting discussion held discussion held probably acceptable include,0,Non-Toxic
